bird	2.11151915432
broom	1.99965858719
egg	1.9976107747
horn	1.90245351674
cigar	1.89555204859
frog	1.84920018557
duck	1.80540967256
typewriter	1.77261069028
rooster	1.7709078236
bat	1.76285461572
pigeon	1.76038282303
beak	1.76022356903
dentist	1.75709716631
nail	1.75684994286
cane	1.75476788009
gin	1.75053131881
beer	1.73580983255
eggs	1.73376708436
turtle	1.72695600144
comb	1.72263252566
spoon	1.71777808656
spider	1.71768289659
baby	1.71617934459
suitcase	1.71522333416
ball	1.71300093946
wand	1.71139767793
calf	1.70051296525
bottle	1.69743125074
toothbrush	1.69265729083
elephant	1.692514478
whiskey	1.68963447469
shoe	1.68344956815
oyster	1.68166759274
toy	1.68089944744
guinea	1.6789247857
coffee	1.67505636367
coffin	1.66741047306
brewery	1.66625662095
donkey	1.65625440066
hen	1.65036314305
canary	1.6391303967
teddy	1.63632714824
owl	1.63596879969
snake	1.63531135759
penis	1.6339528162
feather	1.6331691339
worm	1.62237815816
saddle	1.61728267827
parrot	1.61611265213
doorknob	1.61392070712
pencil	1.60968662802
hog	1.60944973106
flea	1.60878790948
toothpick	1.60416304344
vibrator	1.59497731722
cow	1.59282997171
liquor	1.59205654822
marbles	1.59008740488
candle	1.58774537617
rabbit	1.58702797237
conch	1.58376201373
distillery	1.58083783522
nose	1.57821937924
hoof	1.57804430467
bar	1.57585178305
doll	1.57228627316
butterfly	1.57128525111
tortoise	1.56838058533
blacksmith	1.56792458768
nest	1.566442629
wings	1.56605824692
rod	1.5640390504
skull	1.55391077966
goat	1.55333923958
bunny	1.55311368942
elevator	1.55239806842
bee	1.55229199492
head	1.55154377175
squirrel	1.55087837425
dot	1.55005722412
soda	1.54958112707
grasshopper	1.547067785
trunks	1.54578893283
cat	1.54427163806
hammer	1.54374415027
snail	1.53919779739
organ	1.5381596445
tavern	1.53549927928
fowl	1.53510589098
kitten	1.53087322848
nipple	1.52887392867
cigarette	1.52779085815
globe	1.52661506608
alligator	1.52640262776
helmet	1.52574800579
toad	1.52509435741
coke	1.52433701356
plumber	1.52403870073
whisky	1.52335113345
mule	1.52331355476
slipper	1.52326407984
fish	1.51214097621
crab	1.51196775679
poppy	1.51071853987
miner	1.50997855918
carpet	1.50990524351
candy	1.50988272624
sausage	1.50799449518
dildo	1.50691223807
pole	1.50663515693
sawmill	1.50568892635
knob	1.50308023542
paintbrush	1.50273221609
pillow	1.50126530745
brandy	1.49937326381
pony	1.49694936834
vodka	1.49690046697
pen	1.49677035675
glove	1.49577064047
shovel	1.49536721629
cactus	1.49468920504
grub	1.49424959023
banana	1.49244057664
spear	1.49227033726
motel	1.49165354449
bakery	1.49138502584
kid	1.48826699902
bell	1.48751547477
brood	1.48507828767
farm	1.48266034078
bicycle	1.48044727726
cider	1.47485372077
critter	1.47289638533
bucket	1.47236324993
goblet	1.47204565085
mallet	1.47122085702
honey	1.47113388538
backpack	1.47070952841
quarry	1.46937397951
trunk	1.46858888841
mine	1.46852788569
pheasant	1.46427573894
caterpillar	1.46390651697
pearl	1.46204688662
palm	1.46085858361
orphan	1.46014908395
collar	1.458756023
mosquito	1.45751871233
phallus	1.45674426128
thumb	1.45669687051
crate	1.45668612399
dog	1.45465642558
potato	1.45426120654
gourd	1.45396642977
quail	1.45176336781
pacifier	1.45108834768
crib	1.45026684344
crescent	1.44899218571
teapot	1.44898486121
ranch	1.4471494889
goose	1.44610904687
pumpkin	1.44394833644
squid	1.44370632108
peg	1.44326264512
mall	1.44301211834
bull	1.44250567039
railroad	1.4423942931
pig	1.44132666099
moose	1.44023712688
beads	1.43973976494
crocodile	1.43887247524
starfish	1.43873351041
arrow	1.43846272608
mug	1.43765790268
lake	1.43618671328
purse	1.43462201306
crow	1.43424318631
basket	1.43416990645
mummy	1.43299380345
boy	1.4326452129
monkey	1.43245629869
keg	1.43222561227
briefcase	1.43150620486
wrist	1.43001287495
raccoon	1.42932361129
boot	1.42923861118
cage	1.42705516311
fridge	1.4268376267
fingernail	1.42671048781
leg	1.4266513684
jeweler	1.42659386574
skunk	1.42593881828
chin	1.42550521133
barn	1.42529933464
lizard	1.42403097343
drum	1.4234317708
ear	1.42314514879
electrician	1.42239324378
nursery	1.42124241616
rum	1.42106823095
lawyer	1.42061226249
apothecary	1.42060116255
sanitarium	1.41998088777
tin	1.41988407632
umbrella	1.41958667293
claw	1.41868104609
toaster	1.41829531738
paw	1.41767987576
neck	1.41738199801
dispensary	1.41460550772
box	1.41328700415
deer	1.41322932466
bud	1.41253348167
chicken	1.41157113761
bartender	1.41110433965
twig	1.41058330534
breast	1.40952711661
cottage	1.40931503605
horse	1.40905991215
crown	1.40869799646
alley	1.40787480667
acorn	1.40508445271
meat	1.40405113494
sack	1.40356568183
wagon	1.40341230009
dumpster	1.40221339485
slaughterhouse	1.40212681631
pitcher	1.40189953846
lodge	1.40182561351
porcupine	1.40179464618
ink	1.40150574277
tobacco	1.40145089604
brothel	1.40055679061
sock	1.39915805017
chimney	1.39907641643
refrigerator	1.39845362505
balloon	1.39802849835
wheelbarrow	1.39778093817
veterinarian	1.39713903065
buffalo	1.39667283795
casket	1.39450115865
piggy	1.39323193709
apple	1.3925821589
wine	1.39253546984
fountain	1.39114418894
ostrich	1.38982358372
pot	1.38949315302
trapper	1.38850143653
canteen	1.3878919656
hospital	1.3863539657
melon	1.38607018295
garage	1.38589400811
gum	1.38558308123
sparrow	1.38494292083
lantern	1.38432270472
fork	1.3839602215
popcorn	1.38275572815
band	1.38191325128
pair	1.38180769492
belt	1.381767979
plum	1.38148399637
